time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
2019-03-12T00:00:00Z,3845,3874,3793.5,3857.5,1189.8290499999998,1282.3459999999998,876.3760999999998,975781570,1098356068.95
2019-03-13T00:00:00Z,3857.5,3872.5,3825,3849.5,1189.8290499999998,1282.3459999999998,876.3760999999998,651939565,1070357424.4
2019-03-14T00:00:00Z,3849.5,3906,3750,3855,1189.8290499999998,1282.3459999999998,876.3760999999998,835214731,1060706939.3
2019-03-15T00:00:00Z,3855,3903.5,3840.5,3897,1189.8290499999998,1282.3459999999998,876.3760999999998,754035502,1010666607.45
2019-03-16T00:00:00Z,3897,4038,3896,3986,1189.8290499999998,1282.3459999999998,876.3760999999998,1344503429,954943434.85
2019-03-17T00:00:00Z,3986,3987.5,3926,3962,1189.8290499999998,1282.3459999999998,876.3760999999998,680719566,929915837.6
2019-03-18T00:00:00Z,3962,4014.5,3928,3969,1189.8290499999998,1282.3459999999998,876.3760999999998,976963412,935316388.3
2019-03-19T00:00:00Z,3969,4012,3945,3997,1189.8290499999998,1282.3459999999998,876.3760999999998,869685179,920758158.1
2019-03-20T00:00:00Z,3997,4048.5,3952.5,4029.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1114612306,917918470
2019-03-21T00:00:00Z,4029.5,4067.5,3914.5,3969,1189.8290499999998,1282.3459999999998,876.3760999999998,1446282002,961957938.5
2019-03-22T00:00:00Z,3969,3999,3958,3981,1189.8290499999998,1282.3459999999998,876.3760999999998,596252650,964748069.6
2019-03-23T00:00:00Z,3981,3999,3952,3979.5,1189.8290499999998,1282.3459999999998,876.3760999999998,575838849,968337028.25
2019-03-24T00:00:00Z,3979.5,3979.5,3937,3966.5,1189.8290499999998,1282.3459999999998,876.3760999999998,460394105,929460193.9
2019-03-25T00:00:00Z,3966.5,3972.5,3859.5,3903.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1049445895,910692111.15
2019-03-26T00:00:00Z,3903.5,3920,3881.5,3915.5,1189.8290499999998,1282.3459999999998,876.3760999999998,628379684,899268819.2
2019-03-27T00:00:00Z,3915.5,4041,3910,4025.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1339386470,914371941.3
2019-03-28T00:00:00Z,4025.5,4026,3991,4009,1189.8290499999998,1282.3459999999998,876.3760999999998,563612950,882690201.85
2019-03-29T00:00:00Z,4009,4097.5,4002,4086,1189.8290499999998,1282.3459999999998,876.3760999999998,1564265726,897719914.05
2019-03-30T00:00:00Z,4086,4129,4021,4088,1189.8290499999998,1282.3459999999998,876.3760999999998,1050240961,921039351.4
2019-03-31T00:00:00Z,4088,4098,4074,4091,1189.8290499999998,1282.3459999999998,876.3760999999998,404465604,894101007.8
2019-04-01T00:00:00Z,4091,4144.5,4036.5,4132.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1194734770,905048667.8
2019-04-02T00:00:00Z,4132.5,5144.5,4128.5,4897.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4868876703,1115895524.7
2019-04-03T00:00:00Z,4897.5,5348.5,4783,4979,1189.8290499999998,1282.3459999999998,876.3760999999998,5191879310,1333728753.65
